Timestamp,Attention,Status,Head Direction,Eyes Open,Blink Count,Blink Rate
2026-08-08 16:29:16,69,Slightly Distracted,Forward,True,51,24.0
2026-08-08 16:29:17,93,Highly Attentive,Down,True,52,24.2
2026-08-08 16:29:18,77,Attentive,Left,True,52,24.1
2026-08-08 16:29:19,76,Attentive,Left,True,52,23.9
2026-08-08 16:29:20,80,Attentive,Forward,True,52,23.7
2026-08-08 16:29:21,79,Attentive,Left,True,53,23.9
2026-08-08 16:29:22,60,Slightly Distracted,Left,False,53,23.8
2026-08-08 16:29:23,63,Slightly Distracted,Left,True,54,24.0
2026-08-08 16:29:24,98,Highly Attentive,Forward,True,54,23.8
2026-08-08 16:29:25,100,Highly Attentive,Forward,True,54,23.7
2026-08-08 16:29:26,100,Highly Attentive,Forward,True,54,23.5
2026-08-08 16:29:27,99,Highly Attentive,Forward,True,54,23.3
2026-08-08 16:29:28,100,Highly Attentive,Forward,True,54,23.2
2026-08-08 16:29:29,100,Highly Attentive,Forward,True,54,23.0
2026-08-08 16:29:30,66,Slightly Distracted,Left,True,54,22.8
2026-08-08 16:29:31,74,Attentive,Forward,True,54,22.7
2026-08-08 16:29:32,100,Highly Attentive,Forward,True,54,22.5
2026-08-08 16:29:33,100,Highly Attentive,Forward,True,54,22.3
2026-08-08 16:29:34,100,Highly Attentive,Forward,True,54,22.2
2026-08-08 16:29:35,100,Highly Attentive,Forward,True,54,22.0
2026-08-08 16:51:27,89,Highly Attentive,Left,True,0,0.0
2026-08-08 16:51:28,66,Slightly Distracted,Left,True,0,0.0
2026-08-08 16:51:29,78,Attentive,Forward,True,0,0.0
2026-08-08 16:51:30,97,Highly Attentive,Forward,True,1,14.8
2026-08-08 16:51:31,100,Highly Attentive,Forward,True,1,11.8
2026-08-08 16:51:32,100,Highly Attentive,Forward,True,1,9.9
2026-08-08 16:51:33,100,Highly Attentive,Forward,True,1,8.4
2026-08-08 16:51:34,100,Highly Attentive,Forward,True,1,7.4
2026-08-08 16:51:35,100,Highly Attentive,Forward,True,1,6.6
2026-08-08 16:51:36,100,Highly Attentive,Forward,True,1,5.9
2026-08-08 16:51:37,67,Slightly Distracted,Left,True,1,5.4
2026-08-08 16:51:38,79,Attentive,Right,True,1,4.9
2026-08-08 16:51:39,65,Slightly Distracted,Right,True,1,4.5
2026-08-08 16:51:40,67,Slightly Distracted,Forward,True,1,4.2
2026-08-08 16:51:41,87,Highly Attentive,Left,True,1,3.9
2026-08-08 16:51:42,65,Slightly Distracted,Left,True,1,3.7
2026-08-08 16:51:43,57,Slightly Distracted,Left,True,1,3.5
2026-08-08 16:51:44,50,Slightly Distracted,Left,True,1,3.3
2026-08-08 16:51:45,35,Distracted,Left,False,2,6.2
2026-08-08 16:51:46,30,Distracted,Left,False,2,5.9
2026-08-08 16:51:47,43,Distracted,Forward,False,2,5.6
2026-08-08 16:51:48,60,Slightly Distracted,Left,False,2,5.3
2026-08-08 16:51:49,56,Slightly Distracted,Left,True,3,7.7
2026-08-08 16:51:50,65,Slightly Distracted,Left,True,3,7.4
2026-08-08 16:51:51,64,Slightly Distracted,Left,True,3,7.1
2026-08-08 16:51:52,65,Slightly Distracted,Left,True,3,6.8
2026-08-08 16:51:53,65,Slightly Distracted,Left,True,3,6.5
2026-08-08 16:51:54,85,Attentive,Forward,True,3,6.3
2026-08-08 16:51:55,100,Highly Attentive,Forward,True,3,6.1
2026-08-08 16:51:56,100,Highly Attentive,Forward,True,3,5.9
2026-08-08 16:51:57,100,Highly Attentive,Forward,True,3,5.7
2026-08-08 16:51:58,99,Highly Attentive,Forward,True,3,5.5
2026-08-08 16:51:59,100,Highly Attentive,Forward,True,3,5.4
2026-08-08 16:52:00,98,Highly Attentive,Forward,True,3,5.2
2026-08-08 16:52:01,70,Slightly Distracted,Right,True,3,5.0
2026-08-08 16:52:02,84,Attentive,Forward,True,3,4.9
2026-08-08 16:52:03,100,Highly Attentive,Forward,True,3,4.8
2026-08-08 16:52:04,100,Highly Attentive,Forward,True,3,4.6
2026-08-08 16:52:05,87,Highly Attentive,Forward,True,4,6.0
2026-08-08 16:52:06,84,Attentive,Forward,True,4,5.9
2026-08-08 16:52:07,83,Attentive,Forward,True,5,7.2
2026-08-08 16:52:08,85,Highly Attentive,Forward,True,5,7.0
2026-08-08 16:52:10,66,Slightly Distracted,Left,False,5,6.8
2026-08-08 16:52:11,31,Distracted,Left,False,6,8.0
2026-08-08 16:52:12,89,Highly Attentive,Left,True,8,10.5
2026-08-08 16:52:13,70,Attentive,Forward,False,8,10.2
2026-08-08 16:52:14,97,Highly Attentive,Forward,True,10,12.5
2026-08-08 16:52:15,86,Highly Attentive,Forward,True,10,12.3
2026-08-08 16:52:16,66,Slightly Distracted,Left,True,11,13.2
2026-08-08 16:52:17,70,Slightly Distracted,Left,True,11,12.9
2026-08-08 16:52:18,65,Slightly Distracted,Left,True,11,12.7
2026-08-08 16:52:19,53,Slightly Distracted,Left,False,11,12.5
2026-08-08 16:52:20,49,Distracted,Left,True,14,15.5
2026-08-08 16:52:21,60,Slightly Distracted,Forward,False,15,16.4
2026-08-08 16:52:22,91,Highly Attentive,Forward,True,17,18.2
2026-08-08 16:52:23,99,Highly Attentive,Forward,True,17,17.9
2026-08-08 16:52:24,62,Slightly Distracted,Right,False,17,17.5
2026-08-08 16:52:25,85,Attentive,Forward,True,17,17.2
2026-08-08 16:52:26,98,Highly Attentive,Forward,True,18,17.9
2026-08-08 16:52:27,100,Highly Attentive,Forward,True,18,17.6
2026-08-08 16:52:28,97,Highly Attentive,Forward,True,19,18.3
2026-08-08 16:52:29,93,Highly Attentive,Forward,True,20,18.9
2026-08-08 16:52:30,99,Highly Attentive,Forward,True,20,18.6
2026-08-08 16:52:31,100,Highly Attentive,Forward,True,20,18.3
2026-08-08 16:52:32,100,Highly Attentive,Forward,True,20,18.1
2026-08-08 16:52:33,100,Highly Attentive,Forward,True,20,17.8
2026-08-08 16:52:34,100,Highly Attentive,Forward,True,20,17.5
2026-08-08 16:52:35,100,Highly Attentive,Forward,True,20,17.3
2026-08-08 16:52:36,100,Highly Attentive,Forward,True,20,17.0
2026-08-08 16:52:37,100,Highly Attentive,Forward,True,20,16.8
2026-08-08 16:52:38,100,Highly Attentive,Forward,True,20,16.5
2026-08-08 16:52:39,67,Slightly Distracted,Forward,False,21,17.1
2026-08-08 16:52:40,65,Slightly Distracted,Forward,False,21,16.9
2026-08-08 16:52:41,65,Slightly Distracted,Forward,False,21,16.7
2026-08-08 16:52:42,68,Slightly Distracted,Forward,True,22,17.2
2026-08-08 16:52:43,85,Attentive,Forward,True,22,17.0
2026-08-08 16:52:44,76,Attentive,Left,True,22,16.8
2026-08-08 16:52:45,50,Slightly Distracted,Left,True,22,16.6
2026-08-08 16:52:46,48,Distracted,Left,False,22,16.3
2026-08-08 16:52:47,50,Slightly Distracted,Left,True,25,18.3
2026-08-08 16:52:48,62,Slightly Distracted,Left,True,26,18.8
2026-08-08 16:52:49,90,Highly Attentive,Forward,True,27,19.3
2026-08-08 16:52:50,79,Attentive,Left,True,27,19.1
2026-08-08 16:52:52,61,Slightly Distracted,Left,True,29,20.3
2026-08-08 16:52:53,60,Slightly Distracted,Left,False,30,20.7
2026-08-08 16:52:54,65,Slightly Distracted,Left,True,30,20.5
2026-08-08 16:52:55,62,Slightly Distracted,Left,True,31,20.9
2026-08-08 16:52:56,85,Attentive,Forward,True,31,20.7
2026-08-08 16:52:57,100,Highly Attentive,Forward,True,31,20.5
2026-08-08 16:52:58,72,Attentive,Left,True,31,20.2
2026-08-08 16:52:59,94,Highly Attentive,Forward,True,31,20.0
2026-08-08 16:53:00,100,Highly Attentive,Forward,True,31,19.8
2026-08-08 16:53:01,100,Highly Attentive,Forward,True,31,19.6
2026-08-08 16:53:02,100,Highly Attentive,Forward,True,31,19.4
2026-08-08 16:53:03,63,Slightly Distracted,Left,True,32,19.8
2026-08-08 16:53:04,65,Slightly Distracted,Left,True,32,19.6
2026-08-08 16:53:05,65,Slightly Distracted,Left,True,32,19.4
2026-08-08 16:53:06,68,Slightly Distracted,Right,True,32,19.2
2026-08-08 16:53:07,91,Highly Attentive,Forward,True,32,19.0
2026-08-08 16:53:08,72,Attentive,Down,True,32,18.8
2026-08-08 16:53:09,72,Attentive,Left,True,32,18.6
2026-08-08 16:53:10,66,Slightly Distracted,Forward,False,32,18.4
2026-08-08 16:53:11,100,Highly Attentive,Forward,True,33,18.8
2026-08-08 16:53:12,100,Highly Attentive,Forward,True,33,18.6
2026-08-08 16:53:13,95,Highly Attentive,Forward,True,34,19.0
2026-08-08 16:53:14,98,Highly Attentive,Forward,True,35,19.4
2026-08-08 16:53:15,97,Highly Attentive,Forward,False,36,19.8
2026-08-08 16:53:16,93,Highly Attentive,Forward,False,36,19.6
2026-08-08 16:53:17,100,Highly Attentive,Forward,True,37,19.9
2026-08-08 16:53:18,100,Highly Attentive,Forward,True,37,19.8
2026-08-08 16:53:19,100,Highly Attentive,Forward,True,37,19.6
2026-08-08 16:53:20,100,Highly Attentive,Forward,True,37,19.4
2026-08-08 16:53:21,100,Highly Attentive,Forward,True,37,19.2
2026-08-08 16:53:22,100,Highly Attentive,Forward,True,37,19.1
2026-08-08 16:53:23,100,Highly Attentive,Forward,True,37,18.9
2026-08-08 16:53:24,100,Highly Attentive,Forward,True,37,18.7
2026-08-08 16:53:25,100,Highly Attentive,Forward,True,37,18.6
2026-08-08 16:53:26,100,Highly Attentive,Forward,True,37,18.4
2026-08-08 23:54:52,65,Slightly Distracted,Left,True,0,0.0
2026-08-08 23:54:53,65,Slightly Distracted,Left,True,0,0.0
2026-08-08 23:54:54,65,Slightly Distracted,Left,True,0,0.0
2026-08-08 23:54:55,69,Slightly Distracted,Right,True,0,0.0
2026-08-08 23:54:56,93,Highly Attentive,Left,True,0,0.0
2026-08-08 23:54:57,65,Slightly Distracted,Left,True,0,0.0
2026-08-08 23:54:58,65,Slightly Distracted,Left,True,0,0.0
2026-08-08 23:54:59,65,Slightly Distracted,Left,True,0,0.0
2026-08-08 23:55:00,64,Slightly Distracted,Left,True,0,0.0
2026-08-08 23:55:01,90,Highly Attentive,Forward,True,0,0.0
2026-08-08 23:55:02,100,Highly Attentive,Forward,True,0,0.0
2026-08-08 23:55:03,100,Highly Attentive,Forward,True,0,0.0
2026-08-08 23:55:04,100,Highly Attentive,Forward,True,0,0.0
2026-08-08 23:55:05,100,Highly Attentive,Forward,True,0,0.0
2026-08-08 23:55:06,100,Highly Attentive,Forward,True,0,0.0
2026-08-08 23:55:07,100,Highly Attentive,Forward,True,0,0.0
2026-08-08 23:55:08,100,Highly Attentive,Forward,True,0,0.0
2026-08-08 23:55:09,100,Highly Attentive,Forward,True,0,0.0
2026-08-08 23:55:10,70,Slightly Distracted,Left,True,0,0.0
2026-08-08 23:55:11,68,Slightly Distracted,Right,True,0,0.0
2026-08-08 23:55:12,65,Slightly Distracted,Right,True,0,0.0
2026-08-08 23:55:13,65,Slightly Distracted,Right,True,0,0.0
2026-08-08 23:55:14,91,Highly Attentive,Forward,True,0,0.0
2026-08-08 23:55:15,77,Attentive,Left,True,1,2.5
2026-08-08 23:55:16,63,Slightly Distracted,Left,True,2,4.7
2026-08-08 23:55:17,64,Slightly Distracted,Left,True,3,6.8
2026-08-08 23:55:18,61,Slightly Distracted,Left,True,5,10.9
2026-08-08 23:55:19,62,Slightly Distracted,Left,True,6,12.6
2026-08-08 23:55:20,62,Slightly Distracted,Left,True,7,14.2
2026-08-08 23:55:21,64,Slightly Distracted,Left,True,7,13.8
2026-08-08 23:55:22,60,Slightly Distracted,Left,True,9,17.1
2026-08-08 23:55:23,58,Slightly Distracted,Left,False,9,16.6
2026-08-08 23:55:25,48,Distracted,Forward,False,10,17.9
2026-08-08 23:55:26,71,Attentive,Forward,True,13,22.5
2026-08-08 23:55:27,73,Attentive,Forward,True,15,25.3
2026-08-08 23:55:28,48,Distracted,Left,False,17,27.8
2026-08-08 23:55:29,65,Slightly Distracted,Forward,False,19,30.3
2026-08-08 23:55:30,62,Slightly Distracted,Forward,False,22,34.1
2026-08-08 23:55:31,70,Attentive,Forward,True,23,34.8
2026-08-08 23:55:32,74,Attentive,Left,True,23,33.9
2026-08-08 23:55:33,53,Slightly Distracted,Left,True,24,34.5
2026-08-08 23:55:34,38,Distracted,Left,False,25,35.1
2026-08-08 23:55:35,49,Distracted,Left,True,26,35.6
2026-08-08 23:55:36,55,Slightly Distracted,Left,True,26,34.8
2026-08-08 23:55:37,64,Slightly Distracted,Forward,True,27,35.4
2026-08-08 23:55:38,90,Highly Attentive,Forward,True,27,34.6
2026-08-08 23:55:39,90,Highly Attentive,Forward,True,27,33.9
2026-08-08 23:55:40,90,Highly Attentive,Forward,True,27,33.2
2026-08-08 23:55:41,90,Highly Attentive,Forward,True,27,32.5
2026-08-08 23:55:42,90,Highly Attentive,Forward,True,27,31.8
2026-08-08 23:55:43,88,Highly Attentive,Forward,True,27,31.2
2026-08-08 23:55:44,90,Highly Attentive,Forward,True,27,30.6
2026-08-08 23:55:45,74,Attentive,Up,False,27,30.0
2026-08-08 23:55:46,46,Distracted,Forward,False,27,29.5
2026-08-08 23:55:47,67,Slightly Distracted,Left,True,28,30.0
2026-08-08 23:55:48,72,Attentive,Forward,True,28,29.5
2026-08-08 23:55:49,96,Highly Attentive,Forward,True,28,29.0
2026-08-08 23:55:50,94,Highly Attentive,Forward,True,28,28.5
2026-08-08 23:55:51,84,Attentive,Forward,False,28,28.0
2026-08-08 23:55:52,79,Attentive,Forward,False,30,29.5
2026-08-08 23:55:53,82,Attentive,Forward,True,31,29.9
2026-08-08 23:55:54,64,Slightly Distracted,Down,True,32,30.4
2026-08-08 23:55:55,58,Slightly Distracted,Down,True,32,29.9
2026-08-08 23:55:56,65,Slightly Distracted,Down,True,32,29.4
2026-08-08 23:55:57,65,Slightly Distracted,Down,True,32,29.0
